location_id,parent_id,path_to_top_parent,level,most_detailed,location_name,location_ascii_name
376,21,"1,4,21,376",3,1,Northern Mariana Islands,Northern Mariana Islands
380,21,"1,4,21,380",3,1,Palau,Palau
26,21,"1,4,21,26",3,1,Papua New Guinea,Papua New Guinea
27,21,"1,4,21,27",3,1,Samoa,Samoa
28,21,"1,4,21,28",3,1,Solomon Islands,Solomon Islands
413,21,"1,4,21,413",3,1,Tokelau,Tokelau
29,21,"1,4,21,29",3,1,Tonga,Tonga
416,21,"1,4,21,416",3,1,Tuvalu,Tuvalu
30,21,"1,4,21,30",3,1,Vanuatu,Vanuatu
9,4,"1,4,9",2,0,Southeast Asia,Southeast Asia
10,9,"1,4,9,10",3,1,Cambodia,Cambodia
11,9,"1,4,9,11",3,1,Indonesia,Indonesia
12,9,"1,4,9,12",3,1,Lao People's Democratic Republic,Lao People's Democratic Republic
13,9,"1,4,9,13",3,1,Malaysia,Malaysia
14,9,"1,4,9,14",3,1,Maldives,Maldives
183,9,"1,4,9,183",3,1,Mauritius,Mauritius
15,9,"1,4,9,15",3,1,Myanmar,Myanmar
16,9,"1,4,9,16",3,1,Philippines,Philippines
186,9,"1,4,9,186",3,1,Seychelles,Seychelles
17,9,"1,4,9,17",3,1,Sri Lanka,Sri Lanka
18,9,"1,4,9,18",3,1,Thailand,Thailand
19,9,"1,4,9,19",3,1,Timor-Leste,Timor-Leste
20,9,"1,4,9,20",3,1,Viet Nam,Viet Nam
166,1,"1,166",1,0,Sub-Saharan Africa,Sub-Saharan Africa
167,166,"1,166,167",2,0,Central Sub-Saharan Africa,Central Sub-Saharan Africa
168,167,"1,166,167,168",3,1,Angola,Angola
169,167,"1,166,167,169",3,1,Central African Republic,Central African Republic
170,167,"1,166,167,170",3,1,Congo,Congo
171,167,"1,166,167,171",3,1,Democratic Republic of the Congo,Democratic Republic of the Congo
172,167,"1,166,167,172",3,1,Equatorial Guinea,Equatorial Guinea
173,167,"1,166,167,173",3,1,Gabon,Gabon
174,166,"1,166,174",2,0,Eastern Sub-Saharan Africa,Eastern Sub-Saharan Africa
175,174,"1,166,174,175",3,1,Burundi,Burundi
176,174,"1,166,174,176",3,1,Comoros,Comoros
177,174,"1,166,174,177",3,1,Djibouti,Djibouti
178,174,"1,166,174,178",3,1,Eritrea,Eritrea
179,174,"1,166,174,179",3,1,Ethiopia,Ethiopia
180,174,"1,166,174,180",3,1,Kenya,Kenya
181,174,"1,166,174,181",3,1,Madagascar,Madagascar
182,174,"1,166,174,182",3,1,Malawi,Malawi
184,174,"1,166,174,184",3,1,Mozambique,Mozambique
185,174,"1,166,174,185",3,1,Rwanda,Rwanda
187,174,"1,166,174,187",3,1,Somalia,Somalia
435,174,"1,166,174,435",3,1,South Sudan,South Sudan
190,174,"1,166,174,190",3,1,Uganda,Uganda
